price,bd&ba,sqft,address
"1,173,400+","4bd,3ba","2,515","Sutter Park,, ,Sacramento, CA 95819"
"455,000","3bd,2ba","1,355","7221 Bobcat Ct,, ,North Highlands, CA 95660"
"400,000","2bd,1ba","1,064","3626 Bret Harte Ct,, ,Sacramento, CA 95817"
"514,900+","4bd,3ba","1,843","Wickford Square,, ,Sacramento, CA 95823"
"447,305+","3bd,3ba","1,761","Portisol at Artisan Square,, ,Sacramento, CA 95835"
"1,348,632+","4bd,4ba","2,707","Sutter Park,, ,Sacramento, CA 95819"
"499,900+","4bd,3ba","1,826","Wickford Square,, ,Sacramento, CA 95823"
"525,990+","3bd,3ba","1,638","Antinori at Vineyard Creek,, ,Sacramento, CA 95829"
"580,000","4bd,2ba","1,521","134 Glenville Cir,, ,Sacramento, CA 95826"
"929,000","3bd,3ba","2,489 (on 0.50 acres)","3369 Sierra Oaks Dr,, ,Sacramento, CA 95864"
"415,000","3bd,2ba","1,144","2956 Naples St,, ,Sacramento, CA 95826"
"456,000","3bd,2ba","1,438","8109 Phinney Dr,, ,Sacramento, CA 95823"
"456,000","3bd,3ba","1,568","5260 Yvette Way,, ,Sacramento, CA 95823"
"249,000","2bd,1ba",956,"650 Del Verde Cir #1,, ,Sacramento, CA 95833"
"749,900","3bd,2ba","2,721","582 Blackwood St,, ,Sacramento, CA 95815"
"315,000","3bd,2ba","1,035","4200 E Commerce Way #1311,, ,Sacramento, CA 95834"
"349,900","3bd,1ba","1,132","1936 Silica Ave,, ,Sacramento, CA 95815"
"389,000","3bd,2ba","1,155","4732 Don Julio Blvd,, ,Sacramento, CA 95842"
"399,888","3bd,2ba","1,843","60 Tristan Cir,, ,Sacramento, CA 95823"
"435,000","3bd,3ba","1,422","4837 Gannet Way,, ,Sacramento, CA 95842"
"699,990+","3bd,4ba","1,662","Icon @ 14th & C,, ,Sacramento, CA 95814"
"335,000","3bd,1ba",988,"2307 Wyda Way,, ,Sacramento, CA 95825"
"870,000","3bd,2ba","1,774 (on 0.25 acres)","1731 Rolling Hills Rd,, ,Sacramento, CA 95864"
"330,000","3bd,2ba",967,"6042 Ogden Nash Way,, ,Sacramento, CA 95842"
"469,000","4bd,3ba","1,881","3330 Scotland Dr,, ,Antelope, CA 95843"
"210,000","2bd,1ba",924,"4537 Palm Ave #4,, ,Sacramento, CA 95842"
"375,000",2bd,"1,450","5840 Nina Way,, ,Sacramento, CA 95824"
"2,275,000",1bd,1 (on 4.75 acres),"80 South Ave,, ,Sacramento, CA 95838"
"449,000","3bd,1ba","1,039","5523 22nd Ave,, ,Sacramento, CA 95820"
"34,900","1bd,1ba",660,"7755 Whispering Palms Dr,, ,Sacramento, CA 95823"
"95,000","2bd,2ba","1,344","6225 Tyee Ave,, ,Sacramento, CA 95841"
"799,900","3bd,2ba","1,786","2030 7th Ave,, ,Sacramento, CA 95818"
"139,950","2bd,2ba","1,248","82 Amapola Ave,, ,Sacramento, CA 95828"
"699,000","5bd,4ba","2,811","9541 Madora Way,, ,Sacramento, CA 95829"
"439,000",,7001 Garden Hwy,"7001 Garden Hwy,, ,Sacramento, CA 95837"
"369,000","3bd,2ba","1,119","2253 67th Ave,, ,Sacramento, CA 95822"
"525,000","2bd,2ba","1,538","511 Pelican Bay Cir,, ,Sacramento, CA 95835"
"750,000","5bd,4ba","2,811","9540 Ballinger Dr,, ,Sacramento, CA 95829"
"285,000","2bd,1ba",874,"1023 Las Palmas Ave,, ,Sacramento, CA 95815"
"885,000","5bd,3ba","2,401","5332 T St,, ,Sacramento, CA 95819"
"329,000","2bd,1ba",804,"1819 Markston Rd,, ,Sacramento, CA 95825"
"595,000","3bd,3ba","2,049","3912 Samuelson Way,, ,Sacramento, CA 95834"
"320,000","2bd,2ba",900,"5970 Sampson Blvd,, ,Sacramento, CA 95824"
"259,950","3bd,1ba","1,303 (on 0.25 acres)","3812 N Don Julio Blvd,, ,North Highlands, CA 95660"
"325,000","3bd,1ba","1,011","7339 Salazar Dr,, ,North Highlands, CA 95660"
"430,000","3bd,2ba","1,362","7854 Caber Way,, ,Antelope, CA 95843"
"450,000",2bd,"3,188 (on 0.50 acres)","1535 Arcade Blvd,, ,Sacramento, CA 95815"
"455,000","3bd,3ba","1,771","8339 Cypress Lake Ct,, ,Antelope, CA 95843"
"399,000","3bd,2ba","1,288","3312 S Port Dr,, ,Sacramento, CA 95826"
"418,500","3bd,2ba","1,344","4136 Strathmore Way,, ,North Highlands, CA 95660"
"540,000","2bd,1ba","1,126","2216 24th St,, ,Sacramento, CA 95818"
"365,000","3bd,2ba","1,144","5730 47th Ave,, ,Sacramento, CA 95824"
"494,000","3bd,3ba","1,852","8320 Stonybeck Cir,, ,Sacramento, CA 95828"
"455,500","4bd,2ba","1,838 (on 0.25 acres)","2620 Granite Way,, ,Sacramento, CA 95821"
"350,000","2bd,1ba",816,"2970 36th Ave,, ,Sacramento, CA 95824"
"255,000","2bd,2ba","1,190","2406 Post Oak Ln,, ,Sacramento, CA 95825"
"539,000","3bd,3ba","1,885","3853 Fong Ranch Rd,, ,Sacramento, CA 95834"
"495,000","4bd,2ba","1,755","3 Coles Point Ct,, ,Sacramento, CA 95823"
"440,000","3bd,3ba","1,537","167 River Run Cir,, ,Sacramento, CA 95833"
"444,990","3bd,2ba","1,128","7530 Saint Story Ct,, ,Sacramento, CA 95842"
"449,888","3bd,3ba","1,836","6200 Fowler Ave,, ,Sacramento, CA 95828"
"450,000","3bd,2ba","1,362","8068 Montevina Dr,, ,Sacramento, CA 95829"
"375,000",2bd,"1,426","7700 33rd Ave,, ,Sacramento, CA 95824"
"499,000","3bd,2ba","1,271","5941 15th Ave,, ,Sacramento, CA 95820"
"879,000","3bd,4ba","2,275","1022 D St,, ,Sacramento, CA 95814"
"389,999","4bd,2ba","1,284","30 Decathlon Cir,, ,Sacramento, CA 95823"
